year,Values
2013 SEP,9544
2013 OCT,9959
2013 NOV,9721
2013 DEC,8343
2014 JAN,-3673
2014 FEB,5740
2014 MAR,1607
2014 APR,9564
2014 MAY,8985
2014 JUN,6712
2014 JUL,1441
2014 AUG,6942
2014 SEP,9357
2014 OCT,8765
2014 NOV,6519
2014 DEC,8401
2015 JAN,-7923
2015 FEB,2771
2015 MAR,-257
2015 APR,8465
2015 MAY,6354
2015 JUN,5920
2015 JUL,292
2015 AUG,6894
2015 SEP,7774
2015 OCT,8539
2015 NOV,6649
2015 DEC,6003
2016 JAN,-10254
2016 FEB,2845
2016 MAR,-226
2016 APR,7737
2016 MAY,5985
2016 JUN,3157
2016 JUL,-1709
2016 AUG,5222
2016 SEP,6254
2016 OCT,5697
2016 NOV,5063
2016 DEC,2403
2017 JAN,-14301
2017 FEB,-3721
2017 MAR,-3450
2017 APR,7639
2017 MAY,4768
2017 JUN,3756
2017 JUL,-2957
2017 AUG,2802
2017 SEP,4968
2017 OCT,4853
2017 NOV,3869
2017 DEC,-108
2018 JAN,-11706
2018 FEB,-1433
2018 MAR,-3937
2018 APR,4634
2018 MAY,3334
2018 JUN,1973
2018 JUL,-4324
2018 AUG,4345
2018 SEP,3735
2018 OCT,6665
2018 NOV,3109
2018 DEC,532
2019 JAN,-17022
2019 FEB,-1995
2019 MAR,-7087
2019 APR,5903
2019 MAY,3966
2019 JUN,5623
2019 JUL,-3226
2019 AUG,3092
2019 SEP,3327
2019 OCT,9681
2019 NOV,3614
2019 DEC,2421
2020 JAN,-14490
2020 FEB,-1606
2020 MAR,314
2020 APR,42436
2020 MAY,41933
2020 JUN,26632
2020 JUL,17583
2020 AUG,20400
2020 SEP,20017
2020 OCT,14252
2020 NOV,17687
2020 DEC,18735
2021 JAN,-6009
2021 FEB,11335
2021 MAR,15744
2021 APR,17324
2021 MAY,15461
2021 JUN,15860
2021 JUL,2168
2021 AUG,11370
2021 SEP,10733
2021 OCT,6630
2021 NOV,5180
2021 DEC,6673
2022 JAN,-20199
2022 FEB,2263
2022 MAR,-366
2022 APR,9574
2022 MAY,7397
2022 JUN,16469
2022 JUL,-1195
2022 AUG,5749
2022 SEP,10447
2022 OCT,8167
2022 NOV,12501
2022 DEC,20448
2023 JAN,-16749
